# n48.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     286      48      -99940.7      -99940.8      0.000759975      21.3265      21.4096      0.0122858      
     287      48      -99949.9      -99950      0.00225056      5.45556      5.63109      0.0115013      
     288      48      -99871      -99871      0.000546745      10.5458      10.4698      0.00911892      
     289      48      -99957.4      -99957.9      0.00880933      9.26056      9.15685      0.0126716      
     290      48      -99864.8      -99864.8      0.00091363      31.9179      31.9183      0.0107145      
     291      48      -99923.1      -99923.4      0.00582066      18.443      18.2204      0.0197255      
     292      48      -99921.8      -99921.9      0.000330492      15.6726      15.6758      0.0125657      
     293      48      -99935.2      -99935.3      0.000441184      3.89732      3.86758      0.00807412      
     294      48      -99870.3      -99869.8      0.0108575      15.5339      15.4737      0.00843972      
     295      48      -99899.1      -99898.9      0.00424637      19.3356      19.3272      0.00805585      
     296      48      -99886.3      -99886.5      0.00381824      30.4755      30.3767      0.0154954      
     297      48      -99914.1      -99914.1      0.000800775      18.4777      18.7286      0.0187365      
     298      48      -99916      -99915.9      0.00265511      2.93322      3.00866      0.00900645      
     299      48      -99959.7      -99959.6      0.000348918      11.8477      11.7664      0.00882213      
     300      48      -99929.7      -99929.5      0.00373664      12.4417      12.4958      0.00966564      
     301      48      -99946.6      -99946.5      0.0030165      7.7504      7.55226      0.0153644      
     302      48      -99927.2      -99927.2      0.000285011      14.2267      14.3641      0.00951745      
     303      48      -99884.7      -99884.4      0.00569861      11.0541      11.0036      0.00616597      
     304      48      -99848.9      -99849.3      0.008798      45.1875      45.2872      0.00761313      
     305      48      -99954.1      -99954.3      0.00296866      9.78318      9.5704      0.0158713      
     306      48      -99935.6      -99935.6      0.000946384      8.41339      8.31924      0.00891602      
     307      48      -99907.6      -99907.6      0.00105824      15.9851      15.8708      0.0171566      
     308      48      -99939.5      -99939.5      0.00148947      10.755      10.6294      0.0167032      
     309      48      -99952.5      -99952.6      0.000997741      1.57563      1.71623      0.0198003      
     310      48      -99960.5      -99961      0.0114863      4.57035      4.2152      0.0247788      
     311      48      -99926.5      -99926.3      0.00575349      13.5283      13.7317      0.0125151      
     312      48      -99942.7      -99942.7      0.000264234      11.8799      11.7121      0.0107821      
     313      48      -99942      -99942.2      0.0044079      1.53535      1.6263      0.00887569      
     314      48      -99878.1      -99878.3      0.00327808      16.4273      16.4701      0.00571486      
     315      48      -99887.4      -99887.5      0.00260735      24.4234      24.5296      0.0153394      
     316      48      -99809.7      -99809.8      0.00196328      24.0507      24.2217      0.0115908      
     317      48      -99760.3      -99759.8      0.0093655      29.9998      30.0187      0.0153702      
     318      48      -99945.7      -99945.5      0.00331762      11.0669      10.7254      0.0399899      
     319      48      -99864.8      -99864.8      0.00091363      31.9179      31.9182      0.0106864      
     320      48      -99797.3      -99797.3      0.00143661      18.4976      18.4802      0.0122078      
     321      48      -99944.5      -99944.5      0.00138702      6.63878      6.77441      0.0102436      
     322      48      -99919.6      -99920.2      0.011686      9.60002      9.41721      0.01346      
     323      48      -99917.8      -99917.8      0.00107112      17.534      17.5491      0.00336564      
     324      48      -99948.5      -99948.6      0.00177242      4.9237      4.92763      0.0044776      
     325      48      -99955.5      -99955.6      0.00194079      8.66685      8.64422      0.00575507      
     326      48      -99824.5      -99824.6      0.00313526      16.1609      16.0795      0.00815865      
     327      48      -99932      -99931.8      0.00412243      10.6154      10.6681      0.00974727      
     328      48      -99902.3      -99902      0.0052463      9.54938      9.47928      0.00936218      
     329      48      -99903.1      -99903.2      0.00291256      15.0355      14.9132      0.0154927      
     330      48      -99935.8      -99935.4      0.00855749      4.95348      4.91226      0.00630282      
     331      48      -99935.8      -99936.2      0.00659246      8.6419      8.71534      0.00665534      
     332      48      -99926.6      -99926.2      0.00640234      20.9158      21.1826      0.0220426      
     333      48      -99940.5      -99940.6      0.00214466      3.12628      3.01334      0.00943537      
     334      48      -99924.5      -99924.1      0.00848552      18.2816      18.3147      0.0056905      
     335      48      -99968.1      -99967.6      0.0106203      3.62074      3.66016      0.0115336      
     336      48      -99920.6      -99920.2      0.00728922      4.94635      4.81993      0.0152991      
     337      48      -99908.7      -99908.8      0.000340093      14.5044      14.5937      0.00887138      
     338      48      -99963      -99963.1      0.00210068      5.86133      5.74958      0.0123089      
     339      48      -99959.3      -99959.4      0.00176591      3.20062      3.2622      0.00545672      
     340      48      -99952.1      -99952      0.00228522      3.71176      3.72435      0.0108232      
     341      48      -99951.1      -99950.8      0.00700235      5.50407      5.41116      0.00438985      
     342      48      -99897.7      -99897.6      0.0014878      15.2379      15.3429      0.0122553      
     343      48      -99908.6      -99908.8      0.00383201      7.74178      7.43228      0.0311115      
     344      48      -99941.8      -99942.1      0.00572579      8.13303      8.00288      0.00867154      
